split,source,temperature_c,humidity_percent,label_id,label_name
train,uniform,16.190,34.550,2,critical
train,boundary,23.378,83.891,2,critical
train,uniform,16.169,46.090,2,critical
train,boundary,23.725,80.687,2,critical
train,uniform,20.307,24.001,2,critical
train,uniform,36.610,22.867,2,critical
train,uniform,29.599,45.402,1,warning
train,boundary,28.766,39.589,1,warning
train,uniform,22.033,52.506,1,warning
train,boundary,28.713,39.416,1,warning
train,boundary,22.917,82.085,2,critical
train,uniform,37.932,90.166,2,critical
train,boundary,29.974,27.425,2,critical
train,uniform,15.709,91.366,2,critical
train,boundary,23.404,40.534,0,normal
train,boundary,28.163,81.042,2,critical
train,boundary,31.275,78.396,1,warning
train,uniform,31.058,39.766,1,warning
train,uniform,25.608,21.367,2,critical
train,uniform,18.754,77.254,2,critical
train,uniform,36.339,27.979,2,critical
train,boundary,29.125,43.973,1,warning
train,boundary,32.398,42.761,2,critical
train,boundary,19.609,71.898,2,critical
train,boundary,22.655,79.877,1,warning
train,uniform,21.088,76.850,1,warning
train,uniform,20.064,32.071,1,warning
train,uniform,34.077,39.803,2,critical
train,uniform,26.555,44.591,0,normal
train,boundary,18.554,37.844,2,critical
train,boundary,18.912,70.128,2,critical
train,boundary,21.962,82.746,2,critical
train,uniform,21.221,41.342,1,warning
train,uniform,16.639,70.620,2,critical
train,uniform,24.740,35.116,1,warning
train,uniform,17.448,34.922,2,critical
train,boundary,32.117,41.177,2,critical
train,uniform,21.461,27.677,2,critical
train,boundary,20.720,37.668,1,warning
train,uniform,17.086,86.425,2,critical
train,uniform,27.908,75.687,1,warning
train,uniform,24.315,32.206,1,warning
train,uniform,18.504,66.082,2,critical
train,uniform,32.589,22.790,2,critical
train,boundary,20.629,29.929,2,critical
train,uniform,32.285,79.711,2,critical
train,boundary,31.828,76.586,1,warning
train,uniform,33.670,93.548,2,critical
train,uniform,22.435,61.456,1,warning
train,boundary,30.126,79.650,1,warning
train,uniform,34.027,66.592,2,critical
train,uniform,25.339,71.835,1,warning
train,boundary,20.138,67.997,1,warning
train,uniform,21.625,64.992,1,warning
train,uniform,36.258,33.295,2,critical
train,uniform,29.131,79.649,1,warning
train,uniform,36.678,69.469,2,critical
train,uniform,29.637,24.297,2,critical
train,uniform,33.769,64.197,2,critical
train,uniform,15.125,53.819,2,critical
train,uniform,22.181,73.732,1,warning
train,boundary,19.937,31.245,2,critical
train,boundary,28.884,41.732,0,normal
train,uniform,34.875,29.468,2,critical
train,uniform,18.309,41.615,2,critical
train,boundary,28.918,66.285,0,normal
train,uniform,35.003,60.954,2,critical
train,uniform,32.812,25.310,2,critical
train,uniform,23.690,20.334,2,critical
train,boundary,29.697,32.026,1,warning
train,uniform,16.858,23.419,2,critical
train,boundary,30.115,80.930,2,critical
train,uniform,34.155,57.738,2,critical
train,uniform,32.330,62.326,2,critical
train,uniform,31.940,40.154,1,warning
train,uniform,24.842,44.153,0,normal
train,uniform,31.357,91.402,2,critical
train,boundary,20.317,69.449,1,warning
train,uniform,22.371,71.440,1,warning
